"student","class"
"Najiyya al-Assaf","maths-lit-10"
"Joshua Guthrie","afrikaans-11"
"Joshua Guthrie","maths-lit-11"
"Joshua Guthrie","lo-11"
"Erika Cabrera","afrikaans-10"
"Erika Cabrera","lo-10"
"Erika Cabrera","math-10"
"Erika Cabrera","english-10"
"Xavier Jarmon","maths-lit-10"
"Alysha Ray","english-10"
"Alysha Ray","lo-10"
"Alysha Ray","math-10"
"Alysha Ray","afrikaans-10"
"Jordan Tollerson","math-10"
"Jordan Courrejou","math-10"
"Shannon Desersa","math-11"
"Jenna Ko","afrikaans-10"
"Jenna Ko","lo-10"
"Jenna Ko","math-10"
"Troy Lee","maths-lit-11"
"Britnay Snoddy","afrikaans-10"
"Britnay Snoddy","english-10"
"Britnay Snoddy","maths-lit-10"
"Britnay Snoddy","lo-10"
"Jessica Veasley","math-10"
"Malisse Nagamoto","maths-lit-10"
"Malisse Nagamoto","english-10"
"Malisse Nagamoto","afrikaans-10"
"Malisse Nagamoto","lo-10"
"Rohith San Pedro","maths-lit-11"
"Patricia Wonnell","math-11"
"Evan Davis","lo-11"
"Evan Davis","isizulu-11"
"Evan Davis","math-11"
"Trevelle Love","maths-lit-10"
"Wallace Arellano","maths-lit-10"
"Shannon Jackson","math-10"
"Catherine Moffett","maths-lit-10"
"Safwaan el-Odeh","english-10"
"Safwaan el-Odeh","lo-10"
"Safwaan el-Odeh","maths-lit-10"
"Safwaan el-Odeh","isizulu-10"
"Shalisha Jackson","maths-lit-10"
"Shalisha Jackson","afrikaans-10"
"Shalisha Jackson","lo-10"
"Shalisha Jackson","english-10"
"Zaitoona el-Jalil","maths-lit-10"
"Zaitoona el-Jalil","english-10"
"Zaitoona el-Jalil","afrikaans-10"
"Zaitoona el-Jalil","lo-10"
"Mersedez Barcenas Martinez","afrikaans-10"
"Mersedez Barcenas Martinez","lo-10"
"Mersedez Barcenas Martinez","maths-lit-10"
"Mersedez Barcenas Martinez","english-10"
"Gabrielle Clemens","lo-10"
"Gabrielle Clemens","english-10"
"Gabrielle Clemens","maths-lit-10"
"Gabrielle Clemens","afrikaans-10"
"Peter Yang","maths-lit-11"
"Cam Begay","maths-lit-10"
"Taylor Martinez Villalpando","math-11"
"Taylor Martinez Villalpando","lo-11"
"Taylor Martinez Villalpando","afrikaans-11"
"Taylor Martinez Villalpando","english-11"
"Hypatia Casillas","math-10"
"Jesse Young","english-10"
"Jesse Young","lo-10"
"Jesse Young","math-10"
"Jesse Young","afrikaans-10"
"Jordan Bonthron","english-10"
"Jordan Bonthron","lo-10"
"Jordan Bonthron","maths-lit-10"
"Jordan Bonthron","afrikaans-10"
"Brittany Channell","lo-10"
"Brittany Channell","english-10"
"Brittany Channell","math-10"
"Isaiah James","maths-lit-11"
"Kyle Myers","math-11"
"Jeffrey Taylor","math-12"
"Xavier Eaglin","isizulu-11"
"Xavier Eaglin","math-11"
"Alona Lawson","maths-lit-11"
"Farhaana el-Salih","isizulu-12"
"Donato Hicks","maths-lit-11"
"Donato Hicks","english-11"
"Donato Hicks","lo-11"
"Donato Hicks","afrikaans-11"
"Dalia Marquez","isizulu-11"
"Dalia Marquez","maths-lit-11"
"Rashaa al-Siddiqi","math-10"
"Taamira al-Badour","math-11"
"Sarai Ramos","lo-11"
"Sarai Ramos","afrikaans-11"
"Sarai Ramos","english-11"
"Sarai Ramos","maths-lit-11"
"Sabreen el-Shaikh","maths-lit-11"
"Emily Mccarthy","maths-lit-11"
"Sarah Thomas","math-12"
"Jamie Pillar","maths-lit-11"
"Jamie Pillar","english-11"
"Jamie Pillar","lo-11"
"Jamie Pillar","afrikaans-11"
"Megan Wilch","lo-11"
"Megan Wilch","math-11"
"Megan Wilch","english-11"
"Megan Wilch","afrikaans-11"
"Asghar al-Younan","maths-lit-11"
"Asghar al-Younan","english-11"
"Asghar al-Younan","afrikaans-11"
"Asghar al-Younan","lo-11"
"Aatifa al-Abu","maths-lit-10"
"Raymond Holmes Jr","maths-lit-11"
"Raymond Holmes Jr","english-11"
"Raymond Holmes Jr","afrikaans-11"
"Raymond Holmes Jr","lo-11"
"Lauren Nygaard","math-10"
"Lauren Nygaard","afrikaans-10"
"Mahbooba al-Darwish","isizulu-10"
"Mahbooba al-Darwish","math-10"
"Matthew Beckmann","isizulu-12"
"Matthew Beckmann","math-12"
"Crystal Manuel","math-12"
"Makeda Edgerton","english-12"
"Makeda Edgerton","afrikaans-12"
"Makeda Edgerton","maths-lit-12"
"Joseph Villalva","afrikaans-11"
"Joseph Villalva","english-11"
"Joseph Villalva","maths-lit-11"
"Joseph Villalva","lo-11"
"Alexis Palomino","maths-lit-10"
"Alexis Palomino","afrikaans-10"
"Raechell Pacheco","english-10"
"Raechell Pacheco","afrikaans-10"
"Raechell Pacheco","lo-10"
"Raechell Pacheco","maths-lit-10"
"Toan Swanson","maths-lit-11"
"Toan Swanson","english-11"
"Toan Swanson","afrikaans-11"
"Toan Swanson","lo-11"
"Justin Keith","maths-lit-12"
"Deante Mackey","afrikaans-12"
"Deante Mackey","maths-lit-12"
"Deante Mackey","english-12"
"Brandon O Bryan","maths-lit-12"
"Brandon O Bryan","english-12"
"Brandon O Bryan","afrikaans-12"
"Haley Henderson","afrikaans-10"
"Haley Henderson","maths-lit-10"
"Ryan Northup","english-12"
"Ryan Northup","afrikaans-12"
"Ryan Northup","maths-lit-12"
"Jenson Wynn","isizulu-12"
"Ginger Yang","maths-lit-12"
"Ginger Yang","afrikaans-12"
"Ginger Yang","english-12"
"Emma Ortega","afrikaans-10"
"Emma Ortega","math-10"
"Guadalupe Cordova","english-12"
"Guadalupe Cordova","afrikaans-12"
"Guadalupe Cordova","lo-12"
"Guadalupe Cordova","maths-lit-12"
"Cedric Mclellan","maths-lit-11"
"Nathan Lucio-Discua","math-12"
"Cornelius Campbell","afrikaans-10"
"Cornelius Campbell","math-10"
"Cornelius Campbell","lo-10"
"Cornelius Campbell","english-10"
"Ghaidaa el-Hassan","math-11"
"Dhareef al-Jamal","maths-lit-10"
"Edwin Quiring","afrikaans-10"
"Edwin Quiring","math-10"
"Edwin Quiring","english-10"
"Edwin Quiring","lo-10"
"Jennifer Tamura","afrikaans-10"
"Jennifer Tamura","math-10"
"Michael Cox","maths-lit-12"
"William Cordero","math-12"
"Yanel Ramirez","math-10"
"Patrick Bilderback","isizulu-12"
"Tayla Schulze","maths-lit-10"
"Austin Martin","math-12"
"Alexis Martinez","english-11"
"Alexis Martinez","maths-lit-11"
"Alexis Martinez","lo-11"
"Alexis Martinez","afrikaans-11"
"Tawheeda al-Aman","isizulu-10"
"Tawheeda al-Aman","english-10"
"Tawheeda al-Aman","maths-lit-10"
"Tawheeda al-Aman","lo-10"
"Malissa Pritchard","maths-lit-10"
"Alicia Yanushonis","english-12"
"Alicia Yanushonis","math-12"
"Alicia Yanushonis","afrikaans-12"
"Alicia Yanushonis","lo-12"
"Melissa Kim","math-11"
"Melissa Kim","isizulu-11"
"Phuong Nagao","math-10"
"Nicholas Heap","maths-lit-11"
"Nicholas Heap","isizulu-11"
"Abdul Lateef el-Radwan","maths-lit-10"
"Waatiq el-Mattar","maths-lit-10"
"Shelby Thompson","maths-lit-11"
"Zuhriyaa al-Amini","math-11"
"Amy Zhou","lo-12"
"Amy Zhou","english-12"
"Amy Zhou","afrikaans-12"
"Amy Zhou","maths-lit-12"
"Ellijah Gutierrez","maths-lit-10"
"Trevor Miller","english-10"
"Trevor Miller","lo-10"
"Trevor Miller","isizulu-10"
"Trevor Miller","maths-lit-10"
"Raamiz el-Saladin","maths-lit-10"
"Raamiz el-Saladin","afrikaans-10"
"Radiyya el-Mansour","english-10"
"Radiyya el-Mansour","isizulu-10"
"Radiyya el-Mansour","maths-lit-10"
"Radiyya el-Mansour","lo-10"
"Marcus Duong","english-10"
"Marcus Duong","lo-10"
"Marcus Duong","maths-lit-10"
"Marcus Duong","isizulu-10"
"William Reyes","english-12"
"William Reyes","lo-12"
"William Reyes","afrikaans-12"
"William Reyes","maths-lit-12"
"Requal Hyatt","maths-lit-10"
"Requal Hyatt","afrikaans-10"
"Devin Mawson","isizulu-12"
"Shyanne Nguyen","math-11"
"Nathan Narona","english-11"
"Nathan Narona","lo-11"
"Nathan Narona","afrikaans-11"
"Nathan Narona","math-11"
"Devin Mcpherson","lo-10"
"Alex Lopez","lo-10"
"Julia Kersey","lo-11"
"Zainuddeen el-Wali","lo-12"
"Percival Vu","lo-10"
"Ryan Sena","lo-11"
"Michelle Bailey","lo-11"
"Mawhiba el-Moghaddam","lo-10"
"Dao Cheema","lo-10"
"Aurora Martinez","lo-11"
"Brandon Lopez","lo-10"
"Collin Zahn","lo-11"
"Ian Bohochik","lo-12"
"Noori al-Sahli","lo-12"
"Suthdara Bajwa","lo-12"
"William Gurule","lo-11"
"Saleet el-Jabbour","lo-10"
"Colin Hanson","lo-10"
"Elizabeth Hernandez","lo-11"
"Tyler Keator","lo-11"
"Calvin Bruner","lo-11"
"Eric Davis","lo-12"
"Chance Arellano","lo-12"
"Benjamin Valdez","lo-11"
"Ronald Garza","lo-10"
"Keynan Cuthbert Jr","lo-12"
"Kayla Robinson","lo-12"
"Ekom Ghoram","lo-10"
"Damon Harrison","lo-12"
"William Hall","lo-10"
"Alfred Murphy","lo-10"
"Andera Alt","lo-12"
"Riannon Jaffe","lo-11"
"Valerie Maya","lo-12"
"Shannon Logan","lo-10"
"Christiana Whiteman","lo-12"
"Koua Liu","lo-11"
"Wyatt Briner","lo-10"
"Cyrus Dickerson","lo-11"
"Maria Jaquez Murillo","lo-11"
"Brigitte Lo","lo-10"
"Katelynn Tafoya","lo-10"
"Janel Salazar","lo-10"
"Hilmi al-Jalali","lo-12"
"Nawaar al-Hassen","lo-12"
"Hiro Velasquez","lo-11"
"Kyle Jeserich","lo-10"
"Shannon Torre","lo-11"
"Alisha Baca","lo-12"
"Mariah Weber","lo-11"
"Cu Chulainn Pham","lo-12"
"Dhaahir al-Kazmi","lo-11"
"Farhaana el-Haidar","lo-12"
"Hayden Terry","lo-12"
"Carlos Romero","lo-10"
"Uriah Domer","lo-11"
"Shihaab al-Abad","lo-12"
"Jessie Loving","lo-12"
"Rustin Holliday","lo-11"
"Afeefa al-Yusuf","lo-12"
"Bruce Darden","lo-12"
"Brianna Martinez","lo-12"
"Shane Johnson","lo-11"
"Kree Whipple","lo-10"
"Christopher Fragoso","lo-12"
"Whitney Brinkley","lo-12"
"Cyrus Mondhink","lo-10"
"Larissa Sharshel","lo-11"
"Christopher Alvarez","lo-11"
"Delphine Hall","lo-12"
"Michael Soto","lo-11"
"Keaun Robinson","lo-10"
"Jakoby Whitecalf","lo-11"
"Naseera el-Majid","lo-10"
"Rachel Anderson","lo-11"
"Angelica Myers","lo-12"
"Saalim el-Ghazi","lo-11"
"Paola Vivas","lo-12"
"Saamiqa el-Qazi","lo-12"
"Alexander Jacket","lo-11"
"Jeremy Cepeda","lo-11"
"Shelby Nelson","lo-11"
"Sidney Begay","lo-12"
"Dominic Straker","lo-11"
"Laneece Huang","lo-12"
"Tyler Sarkeiyans","lo-10"
"Edward Porter","lo-10"
"Tai Srinivasan","lo-11"
"Ashley Leslie","lo-10"
"Brooke Tatum Clardy","lo-11"
"Morgan Cohen","lo-12"
"Hannah Balan","lo-10"
"Jenny Ardito","lo-12"
"Grace Zarembski","lo-10"
"Tyler Lohrenz","lo-10"
"Mali Badhesha","lo-10"
"Marcus Dyer","lo-10"
"Jacob Harper","lo-11"
"Brea Taylor","lo-12"
"Cody Fleischman Jr","lo-11"
"Devon Balderrama","lo-11"
"Garrett Walton","lo-11"
"Alexa Dang","lo-12"
"Magnus Ellis","lo-12"
"Dennis Vasquez","lo-12"
"Anthony Whitney","lo-11"
"Jenna Brown","lo-10"
"Tharwa al-Zadeh","lo-12"
"Kei Maka Jr","lo-10"
"Kaelynn Hosan","lo-11"
"Ryan Krohn","lo-10"
"Kaitlyn Quick Bear","lo-11"
"Mahboob el-Rehmann","lo-12"
"Nusaiba al-Rahman","lo-12"
"Vincent Pavlov","lo-11"
"Najeem el-Tawil","lo-12"
"Kaazima al-Majid","lo-11"
"Radwa al-Safi","lo-12"
"Amy Chommala","lo-11"
"Oliver Ortiz","lo-10"
"Clayton Patterson","lo-12"
"Khaalid al-Othman","lo-12"
"Casey Naujok","lo-12"
"Monica Lam","lo-10"
"Lucas Atencio","lo-11"
"Taamira al-Jabbar","lo-11"
"Ty Cox","lo-11"
"Neftali Gutierrez","lo-10"
"Hilmi al-Jalali","maths-lit-12"
"Michelle Bailey","maths-lit-11"
"Rylie Swift Bird","maths-lit-12"
"Ashraf el-Rabbani","maths-lit-12"
"Wyatt Briner","maths-lit-10"
"Riannon Jaffe","maths-lit-11"
"Uriah Domer","maths-lit-11"
"Cyrus Mondhink","maths-lit-10"
"Rachel Williams","maths-lit-10"
"Mariah Weber","maths-lit-11"
"Aurora Martinez","maths-lit-11"
"Brianna Martinez","maths-lit-12"
"Haley Shade","maths-lit-10"
"Tyler Keator","maths-lit-11"
"Sabrina Martin","maths-lit-12"
"Dao Cheema","maths-lit-10"
"William Hall","maths-lit-10"
"William Gurule","maths-lit-11"
"Katelynn Tafoya","maths-lit-10"
"Hiro Velasquez","maths-lit-11"
"Monica Lam","maths-lit-10"
"Jordan Borom","maths-lit-12"
"Mikayla Mcmanus","maths-lit-11"
"Aaron Lyon","maths-lit-11"
"Opheal Omar","maths-lit-12"
"Celeste Foxhoven","maths-lit-12"
"Chance Arellano","maths-lit-12"
"Mawhiba el-Moghaddam","maths-lit-10"
"Jawhar el-Shaban","maths-lit-10"
"River Hardin","maths-lit-10"
"Nusaiba al-Rahman","maths-lit-12"
"Raihaana al-Sharifi","maths-lit-11"
"Chuong Nguyen","maths-lit-10"
"Tai Srinivasan","maths-lit-11"
"Rustin Holliday","maths-lit-11"
"Mutee'a el-Sheikh","maths-lit-10"
"Farhaana el-Haidar","maths-lit-12"
"Philong Jarman","maths-lit-12"
"Ryan Sena","maths-lit-11"
"Anthony Whitney","maths-lit-11"
"Kevin Schweizer","maths-lit-11"
"Tyler Lohrenz","maths-lit-10"
"Alexander Jacket","maths-lit-11"
"Colin Hanson","maths-lit-10"
"Shannon Torre","maths-lit-11"
"Ryan Krohn","maths-lit-10"
"Paola Vivas","maths-lit-12"
"Mudrika el-Allee","maths-lit-12"
"Nathaniel Erdenechimeg","maths-lit-11"
"Christopher Alvarez","maths-lit-11"
"Kree Whipple","maths-lit-10"
"Maria Jaquez Murillo","maths-lit-11"
"Margaret Unruh","maths-lit-11"
"Elizabeth Cochran","maths-lit-11"
"Christiana Whiteman","maths-lit-12"
"Hayden Terry","maths-lit-12"
"Christopher Fragoso","maths-lit-12"
"Fernando Garibay","maths-lit-12"
"Shihaab al-Abad","maths-lit-12"
"Jessie Loving","maths-lit-12"
"Winona Farmer","maths-lit-10"
"Carlos Romero","maths-lit-10"
"Damon Harrison","maths-lit-12"
"Ekom Ghoram","maths-lit-10"
"Fedelina Gallegos Solorio","maths-lit-11"
"Taamira al-Jabbar","maths-lit-11"
"Valerie Maya","maths-lit-12"
"Farlon Barnett","maths-lit-11"
"Cody Fleischman Jr","maths-lit-11"
"Eric Guzman-Morillo","maths-lit-12"
"Neftali Gutierrez","maths-lit-10"
"Rebecca Veleta","maths-lit-12"
"Thomas Sozi","maths-lit-12"
"Mali Badhesha","maths-lit-10"
"Latoya Kabotie","maths-lit-12"
"Collin Zahn","maths-lit-11"
"Jacob Harper","maths-lit-11"
"Rachel Anderson","maths-lit-11"
"Morgan Cohen","maths-lit-12"
"Shane Johnson","maths-lit-11"
"Keynan Cuthbert Jr","maths-lit-12"
"Mahboob el-Rehmann","maths-lit-12"
"Radwa al-Safi","maths-lit-12"
"Angelica Myers","maths-lit-12"
"Dennis Vasquez","maths-lit-12"
"Naseera el-Majid","maths-lit-10"
"Koua Liu","maths-lit-11"
"Kaitlyn Quick Bear","maths-lit-11"
"Stephanie Carver","maths-lit-10"
"Aaron Lancaster","maths-lit-12"
"Elizabeth Hernandez","maths-lit-11"
"Mekala Bodmer","maths-lit-12"
"Kevin Aragon","maths-lit-12"
"Brea Taylor","maths-lit-12"
"Brigitte Lo","maths-lit-10"
"Shaquaya Abraha","maths-lit-12"
"Grace Zarembski","maths-lit-10"
"Emma Chargualaf","maths-lit-10"
"Agusta Helvida","maths-lit-12"
"Donald Carrera","maths-lit-11"
"Mahfooz el-Ghazi","maths-lit-12"
"Khaalid al-Othman","maths-lit-12"
"Jakoby Whitecalf","maths-lit-11"
"Jenna Brown","maths-lit-10"
"Casey Naujok","maths-lit-12"
"Shelby Nelson","maths-lit-11"
"Miranda Beauvais","maths-lit-12"
"Marcus Dyer","maths-lit-10"
"Devon Balderrama","maths-lit-11"
"Tyler Sarkeiyans","maths-lit-10"
"Jesus Sanchez","maths-lit-11"
"Dominic Straker","math-11"
"Jenny Ardito","math-12"
"Taylor Bunting","math-10"
"Hannah Balan","math-10"
"Laneece Huang","math-12"
"Marwa al-Bashir","math-12"
"Rachael Werner","math-10"
"Vincent Pavlov","math-11"
"Kaelynn Hosan","math-11"
"Mark Shah","math-12"
"Jessica King","math-12"
"Aeneva Holloway","math-12"
"Marjaana el-Shaheen","math-12"
"Vincent Prak","math-10"
"Sidney Begay","math-12"
"Brianca Martin","math-11"
"Olivia Mcnaney","math-10"
"Keenan Pohl","math-10"
"Susan Lwin","math-12"
"Garrett Walton","math-11"
"Antonio Mendoza Jr","math-11"
"Gabriela Silva","math-10"
"Tia Shaye Taylor","math-10"
"Angelo Herrera","math-12"
"Michelle Yu","math-11"
"Benjamin Valdez","math-11"
"Nafeesa al-Darwish","math-12"
"Amy Chommala","math-11"
"Jessica Stevens","math-12"
"Jeremy Cepeda","math-11"
"Amber Velez","math-12"
"Oliver Ortiz","math-10"
"Abigail Geller","math-12"
"Darrin Huitt","math-12"
"Keaun Robinson","math-10"
"Brianna Buckner","math-10"
"Alex Thompson","math-12"
"Cu Chulainn Pham","math-12"
"Nabeela el-Hasen","math-11"
"Alexa Martin","math-12"
"Faisal el-Shehadeh","math-12"
"Whitney Brinkley","math-12"
"Kaazima al-Majid","math-11"
"Cerina Rodriguez","math-12"
"Monica Kaze","math-12"
"Kentae Brown","math-11"
"Michael Soto","math-11"
"Zainuddeen el-Wali","math-12"
"Larissa Sharshel","math-11"
"Saleet el-Jabbour","math-10"
"Kyle Jeserich","math-10"
"Kei Maka Jr","math-10"
"Reema al-Sadek","math-10"
"Decarlo Blackwater","math-10"
"Tommy Rajpal","math-10"
"Asima Aofia","math-10"
"Elijah Yazzie","math-11"
"Henry Salazar","math-10"
"Eric Davis","math-12"
"Devin Mcpherson","math-10"
"Katy Rodriguez","math-11"
"Ty Cox","math-11"
"Katrina Brisbane","math-10"
"Zachary Pisarski","math-11"
"Rebecca Dang","math-12"
"Rasarag Macneill","math-11"
"Steven Hamilton","math-10"
"Derek Li","math-11"
"Kayla Allen","math-11"
"Heli Moimoi","math-12"
"Saamiqa el-Qazi","math-12"
"Isaiah Kennedy","math-11"
"Zachary Pacheco","math-10"
"Brooke Tatum Clardy","math-11"
"Chelsey White","math-11"
"Jaquay Dock","math-12"
"Alex Lopez","math-10"
"Ian Bohochik","math-12"
"William Rice","math-11"
"Clayton Patterson","math-12"
"Angelo Nesby Jr","math-12"
"Afeefa al-Yusuf","math-12"
"Alexa Dang","math-12"
"Naadir el-Sahli","math-11"
"La' George Carter","math-11"
"Arielle Babcock","math-10"
"Calvin Bruner","math-11"
"Ronald Garza","math-10"
"Nicholas Tenorio","math-12"
"Zaaida al-Kazi","math-12"
"Jerrell Beck","math-11"
"Keenan Sullivan","math-11"
"Shannon Logan","math-10"
"Lucas Atencio","math-11"
"Da Sha Jordan","math-10"
"Alisha Baca","math-12"
"Percival Vu","math-10"
"Janel Salazar","math-10"
"Najeem el-Tawil","math-12"
"Julia Kersey","math-11"
"Blake Burbank","math-12"
"Edward Porter","math-10"
"Cyrus Dickerson","math-11"
"Tharwa al-Zadeh","math-12"
"Alfred Murphy","math-10"
"Brittany Zimmerman","math-10"
"Megan Nguyen","math-11"
"Ashley Leslie","math-10"
"Kiara Turner","math-12"
"Kayla Robinson","math-12"
"Magnus Ellis","math-12"
"Brandon Lopez","math-10"
"Saalim el-Ghazi","math-11"
"Samuel Reinhart","math-12"
"Bruce Darden","math-12"
"Suthdara Bajwa","math-12"
"Dhaahir al-Kazmi","math-11"
"Nawaar al-Hassen","math-12"
"Olivia Mcnaney","isizulu-10"
"Zaaida al-Kazi","isizulu-12"
"Tyler Keator","isizulu-11"
"Kayla Allen","isizulu-11"
"Brigitte Lo","isizulu-10"
"Thailia Dexter","isizulu-12"
"Rachel Anderson","isizulu-11"
"Mudrika el-Allee","isizulu-12"
"Shaquaya Abraha","isizulu-12"
"Asima Aofia","isizulu-10"
"Cody Fleischman Jr","isizulu-11"
"Steven Hamilton","isizulu-10"
"Wyatt Briner","isizulu-10"
"Alex Thompson","isizulu-12"
"Latoya Kabotie","isizulu-12"
"Rebecca Veleta","isizulu-12"
"Damarje Ford","isizulu-12"
"Zulema Montoya","isizulu-12"
"Marwa al-Bashir","isizulu-12"
"Dhaahir al-Kazmi","isizulu-11"
"Eric Guzman-Morillo","isizulu-12"
"Ryan Krohn","isizulu-10"
"Miranda Beauvais","isizulu-12"
"Philong Jarman","isizulu-12"
"Kevin Aragon","isizulu-12"
"Shannon Torre","english-11"
"Devin Mcpherson","english-10"
"Michelle Bailey","english-11"
"William Hall","english-10"
"Brandon Lopez","english-10"
"Hannah Balan","english-10"
"Jessie Loving","english-12"
"Julia Kersey","english-11"
"Katelynn Tafoya","english-10"
"Percival Vu","english-10"
"Alex Lopez","english-10"
"Saleet el-Jabbour","english-10"
"Aurora Martinez","english-11"
"Chance Arellano","english-12"
"Carlos Romero","english-10"
"Tyler Keator","english-11"
"Farhaana el-Haidar","english-12"
"William Gurule","english-11"
"Bruce Darden","english-12"
"Alisha Baca","english-12"
"Nusaiba al-Rahman","english-12"
"Dao Cheema","english-10"
"Hiro Velasquez","english-11"
"Jenny Ardito","english-12"
"Alfred Murphy","english-10"
"Andera Alt","english-12"
"Damon Harrison","english-12"
"Brianna Martinez","english-12"
"Hayden Terry","english-12"
"Eric Davis","english-12"
"Zainuddeen el-Wali","english-12"
"Brigitte Lo","english-10"
"Kayla Robinson","english-12"
"Noori al-Sahli","english-12"
"Ronald Garza","english-10"
"Edward Porter","english-10"
"Lucas Atencio","english-11"
"Afeefa al-Yusuf","english-12"
"Larissa Sharshel","english-11"
"Ekom Ghoram","english-10"
"Cyrus Dickerson","english-11"
"Saalim el-Ghazi","english-11"
"Koua Liu","english-11"
"Calvin Bruner","english-11"
"Morgan Cohen","english-12"
"Dennis Vasquez","english-12"
"Maria Jaquez Murillo","english-11"
"Colin Hanson","english-10"
"Cu Chulainn Pham","english-12"
"Kyle Jeserich","english-10"
"Grace Zarembski","english-10"
"Hilmi al-Jalali","english-12"
"Valerie Maya","english-12"
"Angelica Myers","english-12"
"Shihaab al-Abad","english-12"
"Shannon Logan","english-10"
"Brooke Tatum Clardy","english-11"
"Christiana Whiteman","english-12"
"Christopher Alvarez","english-11"
"Dominic Straker","english-11"
"Tyler Sarkeiyans","english-10"
"Jakoby Whitecalf","english-11"
"Magnus Ellis","english-12"
"Wyatt Briner","english-10"
"Mahboob el-Rehmann","english-12"
"Cody Fleischman Jr","english-11"
"Ian Bohochik","english-12"
"Brea Taylor","english-12"
"Rachel Anderson","english-11"
"Kei Maka Jr","english-10"
"Elizabeth Hernandez","english-11"
"Mariah Weber","english-11"
"Keynan Cuthbert Jr","english-12"
"Collin Zahn","english-11"
"Riannon Jaffe","english-11"
"Uriah Domer","english-11"
"Suthdara Bajwa","english-12"
"Rustin Holliday","english-11"
"Michael Soto","english-11"
"Ryan Krohn","english-10"
"Kaelynn Hosan","english-11"
"Dhaahir al-Kazmi","english-11"
"Clayton Patterson","english-12"
"Kaitlyn Quick Bear","english-11"
"Neftali Gutierrez","english-10"
"Nawaar al-Hassen","english-12"
"Jacob Harper","english-11"
"Ryan Sena","english-11"
"Kaazima al-Majid","english-11"
"Mawhiba el-Moghaddam","english-10"
"Janel Salazar","english-10"
"Whitney Brinkley","english-12"
"Najeem el-Tawil","english-12"
"Keaun Robinson","english-10"
"Cyrus Mondhink","english-10"
"Tai Srinivasan","english-11"
"Shelby Nelson","english-11"
"Tharwa al-Zadeh","english-12"
"Anthony Whitney","english-11"
"Vincent Pavlov","english-11"
"Benjamin Valdez","english-11"
"Saamiqa el-Qazi","english-12"
"Marcus Dyer","english-10"
"Naseera el-Majid","english-10"
"Tyler Lohrenz","english-10"
"Sidney Begay","english-12"
"Amy Chommala","english-11"
"Casey Naujok","english-12"
"Mali Badhesha","english-10"
"Ty Cox","english-11"
"Jenna Brown","english-10"
"Ashley Leslie","english-10"
"Alexander Jacket","english-11"
"Taamira al-Jabbar","english-11"
"Alexa Dang","english-12"
"Devon Balderrama","english-11"
"Kree Whipple","english-10"
"Radwa al-Safi","english-12"
"Garrett Walton","english-11"
"Paola Vivas","english-12"
"Khaalid al-Othman","english-12"
"Oliver Ortiz","english-10"
"Shane Johnson","english-11"
"Monica Lam","english-10"
"Laneece Huang","english-12"
"Christopher Fragoso","english-12"
"Delphine Hall","english-12"
"Jeremy Cepeda","english-11"
"Kayla Robinson","afrikaans-12"
"Ryan Sena","afrikaans-11"
"Calvin Bruner","afrikaans-11"
"Noori al-Sahli","afrikaans-12"
"Mariah Weber","afrikaans-11"
"Carlos Romero","afrikaans-10"
"Eric Davis","afrikaans-12"
"Kyle Jeserich","afrikaans-10"
"William Gurule","afrikaans-11"
"Alexa Dang","afrikaans-12"
"Ty Cox","afrikaans-11"
"Edward Porter","afrikaans-10"
"Alisha Baca","afrikaans-12"
"Shelby Nelson","afrikaans-11"
"Winona Farmer","afrikaans-10"
"Dao Cheema","afrikaans-10"
"Farhaana el-Haidar","afrikaans-12"
"Najeem el-Tawil","afrikaans-12"
"Maria Jaquez Murillo","afrikaans-11"
"William Hall","afrikaans-10"
"Chance Arellano","afrikaans-12"
"Monica Lam","afrikaans-10"
"Valerie Maya","afrikaans-12"
"Christopher Fragoso","afrikaans-12"
"Brianna Martinez","afrikaans-12"
"Julia Kersey","afrikaans-11"
"Alex Lopez","afrikaans-10"
"Devin Mcpherson","afrikaans-10"
"Nusaiba al-Rahman","afrikaans-12"
"Ronald Garza","afrikaans-10"
"Bruce Darden","afrikaans-12"
"Nawaar al-Hassen","afrikaans-12"
"Saleet el-Jabbour","afrikaans-10"
"Percival Vu","afrikaans-10"
"Shihaab al-Abad","afrikaans-12"
"Hilmi al-Jalali","afrikaans-12"
"Aurora Martinez","afrikaans-11"
"Brooke Tatum Clardy","afrikaans-11"
"Shannon Torre","afrikaans-11"
"Michelle Bailey","afrikaans-11"
"Colin Hanson","afrikaans-10"
"Brandon Lopez","afrikaans-10"
"Lucas Atencio","afrikaans-11"
"Zainuddeen el-Wali","afrikaans-12"
"Alfred Murphy","afrikaans-10"
"Collin Zahn","afrikaans-11"
"Taamira al-Jabbar","afrikaans-11"
"Andera Alt","afrikaans-12"
"Ian Bohochik","afrikaans-12"
"Kree Whipple","afrikaans-10"
"Delphine Hall","afrikaans-12"
"Riannon Jaffe","afrikaans-11"
"Koua Liu","afrikaans-11"
"Damon Harrison","afrikaans-12"
"Jessie Loving","afrikaans-12"
"Khaalid al-Othman","afrikaans-12"
"Hannah Balan","afrikaans-10"
"Cyrus Dickerson","afrikaans-11"
"Katelynn Tafoya","afrikaans-10"
"Naseera el-Majid","afrikaans-10"
"Hiro Velasquez","afrikaans-11"
"Afeefa al-Yusuf","afrikaans-12"
"Morgan Cohen","afrikaans-12"
"Saamiqa el-Qazi","afrikaans-12"
